"Time_da_casa";"Gols_feitos_pelo_time_da_casa";"Gols_feitos_pelo_time_de_fora_de_casa";"Time_de_fora_de_casa";"Liga";"Ano"
"Amazonas";2;2;"América Mineiro";"Brasileirão";2025
"Amazonas";1;0;"Athletic";"Brasileirão";2025
"Amazonas";0;1;"Athletico Paranaense";"Brasileirão";2025
"Amazonas";1;1;"Atlético Goianiense";"Brasileirão";2025
"Amazonas";0;2;"Avaí";"Brasileirão";2025
"Amazonas";3;0;"Botafogo-SP";"Brasileirão";2025
"Amazonas";1;3;"Chapecoense";"Brasileirão";2025
"Amazonas";1;1;"CRB";"Brasileirão";2025
"Amazonas";2;1;"Criciúma";"Brasileirão";2025
"Amazonas";2;0;"Cuiabá";"Brasileirão";2025
"Amazonas";0;0;"Ferroviária";"Brasileirão";2025
"Amazonas";2;2;"Goiás";"Brasileirão";2025
"Amazonas";0;0;"Novorizontino";"Brasileirão";2025
"Amazonas";2;0;"Operário-PR";"Brasileirão";2025
"Amazonas";1;1;"Paysandu";"Brasileirão";2025
"Amazonas";1;3;"Remo";"Brasileirão";2025
"Amazonas";2;1;"Vila Nova";"Brasileirão";2025
"Amazonas";1;0;"Volta Redonda";"Brasileirão";2025
"América Mineiro";3;1;"Amazonas";"Brasileirão";2025
"América Mineiro";0;1;"Athletic";"Brasileirão";2025
"América Mineiro";2;2;"Athletico Paranaense";"Brasileirão";2025
"América Mineiro";2;1;"Atlético Goianiense";"Brasileirão";2025
"América Mineiro";2;0;"Avaí";"Brasileirão";2025
"América Mineiro";1;0;"Botafogo-SP";"Brasileirão";2025
"América Mineiro";0;1;"Chapecoense";"Brasileirão";2025
"América Mineiro";1;0;"Coritiba";"Brasileirão";2025
"América Mineiro";1;1;"CRB";"Brasileirão";2025
"América Mineiro";1;1;"Criciúma";"Brasileirão";2025
"América Mineiro";1;1;"Cuiabá";"Brasileirão";2025
"América Mineiro";1;2;"Ferroviária";"Brasileirão";2025
"América Mineiro";1;0;"Goiás";"Brasileirão";2025
"América Mineiro";2;2;"Novorizontino";"Brasileirão";2025
"América Mineiro";1;1;"Operário-PR";"Brasileirão";2025
"América Mineiro";2;2;"Paysandu";"Brasileirão";2025
"América Mineiro";0;1;"Remo";"Brasileirão";2025
"América Mineiro";1;1;"Vila Nova";"Brasileirão";2025
"América Mineiro";2;1;"Volta Redonda";"Brasileirão";2025
"Athletic";2;2;"Amazonas";"Brasileirão";2025
"Athletic";0;2;"América Mineiro";"Brasileirão";2025
"Athletic";0;3;"Athletico Paranaense";"Brasileirão";2025
"Athletic";1;1;"Atlético Goianiense";"Brasileirão";2025
"Athletic";4;0;"Avaí";"Brasileirão";2025
"Athletic";2;0;"Botafogo-SP";"Brasileirão";2025
"Athletic";0;4;"Chapecoense";"Brasileirão";2025
"Athletic";1;1;"Coritiba";"Brasileirão";2025
"Athletic";1;2;"CRB";"Brasileirão";2025
"Athletic";1;1;"Criciúma";"Brasileirão";2025
"Athletic";0;2;"Cuiabá";"Brasileirão";2025
"Athletic";2;1;"Ferroviária";"Brasileirão";2025
"Athletic";1;1;"Goiás";"Brasileirão";2025
"Athletic";0;2;"Novorizontino";"Brasileirão";2025
"Athletic";2;1;"Operário-PR";"Brasileirão";2025
"Athletic";1;2;"Remo";"Brasileirão";2025
"Athletic";0;1;"Vila Nova";"Brasileirão";2025
"Athletic";2;1;"Volta Redonda";"Brasileirão";2025
"Athletico Paranaense";2;0;"Amazonas";"Brasileirão";2025
"Athletico Paranaense";1;0;"Athletic";"Brasileirão";2025
"Athletico Paranaense";0;1;"Atlético Goianiense";"Brasileirão";2025
"Athletico Paranaense";1;1;"Avaí";"Brasileirão";2025
"Athletico Paranaense";1;4;"Botafogo-SP";"Brasileirão";2025
"Athletico Paranaense";1;1;"Chapecoense";"Brasileirão";2025
"Athletico Paranaense";0;1;"Coritiba";"Brasileirão";2025
"Athletico Paranaense";2;0;"CRB";"Brasileirão";2025
"Athletico Paranaense";2;1;"Criciúma";"Brasileirão";2025
"Athletico Paranaense";1;1;"Cuiabá";"Brasileirão";2025
"Athletico Paranaense";1;1;"Ferroviária";"Brasileirão";2025
"Athletico Paranaense";0;1;"Goiás";"Brasileirão";2025
"Athletico Paranaense";2;1;"Novorizontino";"Brasileirão";2025
"Athletico Paranaense";1;0;"Operário-PR";"Brasileirão";2025
"Athletico Paranaense";1;1;"Paysandu";"Brasileirão";2025
"Athletico Paranaense";2;1;"Remo";"Brasileirão";2025
"Athletico Paranaense";2;0;"Vila Nova";"Brasileirão";2025
