"gols_mandante";"gols_visitante";"frequencia";"Mandante";"Visitante";"Data";"Rodada"
0;0;126;"Amazonas";"Coritiba";"23/11/2025";38
1;0;118;"Amazonas";"Coritiba";"23/11/2025";38
2;0;42;"Amazonas";"Coritiba";"23/11/2025";38
3;0;9;"Amazonas";"Coritiba";"23/11/2025";38
4;0;2;"Amazonas";"Coritiba";"23/11/2025";38
5;0;0;"Amazonas";"Coritiba";"23/11/2025";38
6;0;0;"Amazonas";"Coritiba";"23/11/2025";38
7;0;0;"Amazonas";"Coritiba";"23/11/2025";38
8;0;0;"Amazonas";"Coritiba";"23/11/2025";38
9;0;0;"Amazonas";"Coritiba";"23/11/2025";38
10;0;0;"Amazonas";"Coritiba";"23/11/2025";38
0;1;178;"Amazonas";"Coritiba";"23/11/2025";38
1;1;109;"Amazonas";"Coritiba";"23/11/2025";38
2;1;38;"Amazonas";"Coritiba";"23/11/2025";38
3;1;7;"Amazonas";"Coritiba";"23/11/2025";38
4;1;5;"Amazonas";"Coritiba";"23/11/2025";38
5;1;1;"Amazonas";"Coritiba";"23/11/2025";38
6;1;0;"Amazonas";"Coritiba";"23/11/2025";38
7;1;0;"Amazonas";"Coritiba";"23/11/2025";38
8;1;0;"Amazonas";"Coritiba";"23/11/2025";38
9;1;0;"Amazonas";"Coritiba";"23/11/2025";38
10;1;0;"Amazonas";"Coritiba";"23/11/2025";38
0;2;102;"Amazonas";"Coritiba";"23/11/2025";38
1;2;73;"Amazonas";"Coritiba";"23/11/2025";38
2;2;27;"Amazonas";"Coritiba";"23/11/2025";38
3;2;4;"Amazonas";"Coritiba";"23/11/2025";38
4;2;1;"Amazonas";"Coritiba";"23/11/2025";38
5;2;0;"Amazonas";"Coritiba";"23/11/2025";38
6;2;0;"Amazonas";"Coritiba";"23/11/2025";38
7;2;0;"Amazonas";"Coritiba";"23/11/2025";38
8;2;0;"Amazonas";"Coritiba";"23/11/2025";38
9;2;0;"Amazonas";"Coritiba";"23/11/2025";38
10;2;0;"Amazonas";"Coritiba";"23/11/2025";38
0;3;45;"Amazonas";"Coritiba";"23/11/2025";38
1;3;38;"Amazonas";"Coritiba";"23/11/2025";38
2;3;21;"Amazonas";"Coritiba";"23/11/2025";38
3;3;4;"Amazonas";"Coritiba";"23/11/2025";38
4;3;1;"Amazonas";"Coritiba";"23/11/2025";38
5;3;0;"Amazonas";"Coritiba";"23/11/2025";38
6;3;0;"Amazonas";"Coritiba";"23/11/2025";38
7;3;0;"Amazonas";"Coritiba";"23/11/2025";38
8;3;0;"Amazonas";"Coritiba";"23/11/2025";38
9;3;0;"Amazonas";"Coritiba";"23/11/2025";38
10;3;0;"Amazonas";"Coritiba";"23/11/2025";38
0;4;11;"Amazonas";"Coritiba";"23/11/2025";38
1;4;18;"Amazonas";"Coritiba";"23/11/2025";38
2;4;5;"Amazonas";"Coritiba";"23/11/2025";38
3;4;0;"Amazonas";"Coritiba";"23/11/2025";38
4;4;0;"Amazonas";"Coritiba";"23/11/2025";38
5;4;0;"Amazonas";"Coritiba";"23/11/2025";38
6;4;0;"Amazonas";"Coritiba";"23/11/2025";38
7;4;0;"Amazonas";"Coritiba";"23/11/2025";38
8;4;0;"Amazonas";"Coritiba";"23/11/2025";38
9;4;0;"Amazonas";"Coritiba";"23/11/2025";38
10;4;0;"Amazonas";"Coritiba";"23/11/2025";38
0;5;5;"Amazonas";"Coritiba";"23/11/2025";38
1;5;5;"Amazonas";"Coritiba";"23/11/2025";38
2;5;0;"Amazonas";"Coritiba";"23/11/2025";38
3;5;0;"Amazonas";"Coritiba";"23/11/2025";38
4;5;0;"Amazonas";"Coritiba";"23/11/2025";38
5;5;0;"Amazonas";"Coritiba";"23/11/2025";38
6;5;0;"Amazonas";"Coritiba";"23/11/2025";38
7;5;0;"Amazonas";"Coritiba";"23/11/2025";38
8;5;0;"Amazonas";"Coritiba";"23/11/2025";38
9;5;0;"Amazonas";"Coritiba";"23/11/2025";38
10;5;0;"Amazonas";"Coritiba";"23/11/2025";38
0;6;3;"Amazonas";"Coritiba";"23/11/2025";38
1;6;1;"Amazonas";"Coritiba";"23/11/2025";38
2;6;0;"Amazonas";"Coritiba";"23/11/2025";38
3;6;0;"Amazonas";"Coritiba";"23/11/2025";38
4;6;0;"Amazonas";"Coritiba";"23/11/2025";38
5;6;0;"Amazonas";"Coritiba";"23/11/2025";38
6;6;0;"Amazonas";"Coritiba";"23/11/2025";38
7;6;0;"Amazonas";"Coritiba";"23/11/2025";38
8;6;0;"Amazonas";"Coritiba";"23/11/2025";38
9;6;0;"Amazonas";"Coritiba";"23/11/2025";38
10;6;0;"Amazonas";"Coritiba";"23/11/2025";38
0;7;0;"Amazonas";"Coritiba";"23/11/2025";38
1;7;0;"Amazonas";"Coritiba";"23/11/2025";38
2;7;0;"Amazonas";"Coritiba";"23/11/2025";38
3;7;0;"Amazonas";"Coritiba";"23/11/2025";38
4;7;0;"Amazonas";"Coritiba";"23/11/2025";38
5;7;0;"Amazonas";"Coritiba";"23/11/2025";38
6;7;0;"Amazonas";"Coritiba";"23/11/2025";38
7;7;0;"Amazonas";"Coritiba";"23/11/2025";38
8;7;0;"Amazonas";"Coritiba";"23/11/2025";38
9;7;0;"Amazonas";"Coritiba";"23/11/2025";38
10;7;0;"Amazonas";"Coritiba";"23/11/2025";38
0;8;0;"Amazonas";"Coritiba";"23/11/2025";38
1;8;0;"Amazonas";"Coritiba";"23/11/2025";38
2;8;0;"Amazonas";"Coritiba";"23/11/2025";38
3;8;0;"Amazonas";"Coritiba";"23/11/2025";38
4;8;0;"Amazonas";"Coritiba";"23/11/2025";38
5;8;0;"Amazonas";"Coritiba";"23/11/2025";38
6;8;0;"Amazonas";"Coritiba";"23/11/2025";38
7;8;0;"Amazonas";"Coritiba";"23/11/2025";38
8;8;0;"Amazonas";"Coritiba";"23/11/2025";38
9;8;0;"Amazonas";"Coritiba";"23/11/2025";38
10;8;0;"Amazonas";"Coritiba";"23/11/2025";38
0;9;0;"Amazonas";"Coritiba";"23/11/2025";38
1;9;0;"Amazonas";"Coritiba";"23/11/2025";38
2;9;1;"Amazonas";"Coritiba";"23/11/2025";38
3;9;0;"Amazonas";"Coritiba";"23/11/2025";38
4;9;0;"Amazonas";"Coritiba";"23/11/2025";38
5;9;0;"Amazonas";"Coritiba";"23/11/2025";38
6;9;0;"Amazonas";"Coritiba";"23/11/2025";38
7;9;0;"Amazonas";"Coritiba";"23/11/2025";38
8;9;0;"Amazonas";"Coritiba";"23/11/2025";38
9;9;0;"Amazonas";"Coritiba";"23/11/2025";38
10;9;0;"Amazonas";"Coritiba";"23/11/2025";38
0;10;0;"Amazonas";"Coritiba";"23/11/2025";38
1;10;0;"Amazonas";"Coritiba";"23/11/2025";38
2;10;0;"Amazonas";"Coritiba";"23/11/2025";38
3;10;0;"Amazonas";"Coritiba";"23/11/2025";38
4;10;0;"Amazonas";"Coritiba";"23/11/2025";38
5;10;0;"Amazonas";"Coritiba";"23/11/2025";38
6;10;0;"Amazonas";"Coritiba";"23/11/2025";38
7;10;0;"Amazonas";"Coritiba";"23/11/2025";38
8;10;0;"Amazonas";"Coritiba";"23/11/2025";38
9;10;0;"Amazonas";"Coritiba";"23/11/2025";38
10;10;0;"Amazonas";"Coritiba";"23/11/2025";38
0;0;39;"Athletic";"Paysandu";"23/11/2025";38
1;0;77;"Athletic";"Paysandu";"23/11/2025";38
2;0;74;"Athletic";"Paysandu";"23/11/2025";38
3;0;51;"Athletic";"Paysandu";"23/11/2025";38
4;0;22;"Athletic";"Paysandu";"23/11/2025";38
5;0;8;"Athletic";"Paysandu";"23/11/2025";38
6;0;4;"Athletic";"Paysandu";"23/11/2025";38
7;0;1;"Athletic";"Paysandu";"23/11/2025";38
8;0;0;"Athletic";"Paysandu";"23/11/2025";38
9;0;0;"Athletic";"Paysandu";"23/11/2025";38
10;0;0;"Athletic";"Paysandu";"23/11/2025";38
0;1;51;"Athletic";"Paysandu";"23/11/2025";38
1;1;106;"Athletic";"Paysandu";"23/11/2025";38
2;1;100;"Athletic";"Paysandu";"23/11/2025";38
3;1;55;"Athletic";"Paysandu";"23/11/2025";38
4;1;33;"Athletic";"Paysandu";"23/11/2025";38
5;1;11;"Athletic";"Paysandu";"23/11/2025";38
6;1;7;"Athletic";"Paysandu";"23/11/2025";38
7;1;2;"Athletic";"Paysandu";"23/11/2025";38
