"";"Rodada";"Mandante";"Visitante";"Gols_do_mandante";"Gols_do_visitante"
"1";"38";"Athletico Paranaense";"América Mineiro";"2";"1"
"2";"38";"Chapecoense";"Atlético Goianiense";"1";"0"
"3";"38";"Botafogo-SP";"Avaí";"1";"1"
"4";"38";"Amazonas";"Coritiba";"0";"1"
"5";"38";"Novorizontino";"CRB";"1";"0"
"6";"38";"Cuiabá";"Criciúma";"1";"1"
"7";"38";"Operário-PR";"Ferroviária";"1";"1"
"8";"38";"Remo";"Goiás";"1";"1"
"9";"38";"Athletic";"Paysandu";"1";"1"
"10";"38";"Vila Nova";"Volta Redonda";"1";"0"
