"";"Mandante";"Data";"Visitante";"Rodada";"Probabilidade_de_vitória_do_mandante";"Probabilidade_de_empate";"Probabilidade_de_vitória_do_visitante"
"1";"Athletico Paranaense";"23/11/2025";"América Mineiro";38;0,599;0,182;0,219
"2";"Chapecoense";"23/11/2025";"Atlético Goianiense";38;0,553;0,255;0,192
"3";"Remo";"23/11/2025";"Goiás";38;0,465;0,245;0,29
"4";"Novorizontino";"23/11/2025";"CRB";38;0,478;0,267;0,255
"5";"Botafogo-SP";"23/11/2025";"Avaí";38;0,264;0,211;0,525
"6";"Athletic";"23/11/2025";"Paysandu";38;0,549;0,228;0,223
"7";"Amazonas";"23/11/2025";"Coritiba";38;0,228;0,296;0,476
"8";"Cuiabá";"23/11/2025";"Criciúma";38;0,346;0,291;0,363
"9";"Operário-PR";"23/11/2025";"Ferroviária";38;0,498;0,243;0,259
"10";"Vila Nova";"23/11/2025";"Volta Redonda";38;0,534;0,266;0,2
