"";"28";"35";"36";"37";"39";"40";"41";"42";"44";"45";"46";"47";"48";"49";"51";"52";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"65"
"Amazonas";0;0;0,476;0,296;0,228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"América Mineiro";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Athletic";0;0;0;0;0;0;0,223;0,228;0,549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Athletico Paranaense";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,219;0,182;0,599
"Atlético Goianiense";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Avaí";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Botafogo-SP";0;0;0;0;0;0;0,525;0,211;0,264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chapecoense";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,192;0,255;0;0,553;0;0
"Coritiba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"CRB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Criciúma";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Cuiabá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,363;0,291;0,346;0;0;0;0;0;0;0;0;0;0
"Ferroviária";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Goiás";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Novorizontino";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,255;0,267;0;0,478;0;0;0;0
"Operário-PR";0;0;0;0;0;0;0;0;0;0,259;0,243;0;0,498;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Paysandu";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Remo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,29;0,245;0;0,465;0;0
"Vila Nova";0;0;0;0;0;0;0;0;0;0;0,2;0,266;0;0,534;0;0;0;0;0;0;0;0;0;0;0;0;0
"Volta Redonda";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
