"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20"
"Amazonas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"América Mineiro";0;0;0;0;0;0;0;0;0;0;0;0,07;0,505;0,425;0;0;0;0;0;0
"Athletic";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,808;0,192;0;0;0;0
"Athletico Paranaense";0,587;0,289;0,124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Atlético Goianiense";0;0;0;0;0;0;0;0;0;0,656;0,344;0;0;0;0;0;0;0;0;0
"Avaí";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Botafogo-SP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,192;0,808;0;0;0;0
"Chapecoense";0;0,124;0,448;0;0,156;0,206;0,066;0;0;0;0;0;0;0;0;0;0;0;0;0
"Coritiba";0,413;0,587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CRB";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Criciúma";0;0;0,225;0,489;0,286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cuiabá";0;0;0;0;0;0;0;0;0;0,344;0,656;0;0;0;0;0;0;0;0;0
"Ferroviária";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Goiás";0;0;0;0,225;0,489;0,286;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Novorizontino";0;0;0;0;0,021;0,171;0,808;0;0;0;0;0;0;0;0;0;0;0;0;0
"Operário-PR";0;0;0;0;0;0;0;0;0;0;0;0,252;0,296;0,452;0;0;0;0;0;0
"Paysandu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Remo";0;0;0,203;0,286;0,048;0,337;0,126;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vila Nova";0;0;0;0;0;0;0;0;0;0;0;0,678;0,199;0,123;0;0;0;0;0;0
"Volta Redonda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
