"";"Time";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"Titulo";"Acesso";"Rebaixamento"
"1";"Amazonas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"2";"América Mineiro";0;0;0;0;0;0;0;0;0;0;0;0,07;0,505;0,425;0;0;0;0;0;0;0;0;0
"3";"Athletic";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,808;0,192;0;0;0;0;0;0;0
"4";"Athletico Paranaense";0,587;0,289;0,124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,587;1;0
"5";"Atlético Goianiense";0;0;0;0;0;0;0;0;0;0,656;0,344;0;0;0;0;0;0;0;0;0;0;0;0
"6";"Avaí";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"Botafogo-SP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,192;0,808;0;0;0;0;0;0;0
"8";"Chapecoense";0;0,124;0,448;0;0,156;0,206;0,066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,572;0
"9";"Coritiba";0,413;0,587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,413;1;0
"10";"CRB";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Criciúma";0;0;0,225;0,489;0,286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,714;0
"12";"Cuiabá";0;0;0;0;0;0;0;0;0;0,344;0,656;0;0;0;0;0;0;0;0;0;0;0;0
"13";"Ferroviária";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"14";"Goiás";0;0;0;0,225;0,489;0,286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,225;0
"15";"Novorizontino";0;0;0;0;0,021;0,171;0,808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";"Operário-PR";0;0;0;0;0;0;0;0;0;0;0;0,252;0,296;0,452;0;0;0;0;0;0;0;0;0
"17";"Paysandu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"18";"Remo";0;0;0,203;0,286;0,048;0,337;0,126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,489;0
"19";"Vila Nova";0;0;0;0;0;0;0;0;0;0;0;0,678;0,199;0,123;0;0;0;0;0;0;0;0;0
"20";"Volta Redonda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
