Em casa / Fora de casa;AMA;AMM;ATH;ATP;ATG;AVA;BRP;CHA;CTB;CRB;CRI;CUI;AFE;GOI;NOV;OPF;PAY;REM;VIL;VRE
Amazonas;;2 x 2;1 x 0;0 x 1;1 x 1;0 x 2;3 x 0;1 x 3;;1 x 1;2 x 1;2 x 0;0 x 0;2 x 2;0 x 0;2 x 0;1 x 1;1 x 3;2 x 1;1 x 0
América Mineiro;3 x 1;;0 x 1;2 x 2;2 x 1;2 x 0;1 x 0;0 x 1;1 x 0;1 x 1;1 x 1;1 x 1;1 x 2;1 x 0;2 x 2;1 x 1;2 x 2;0 x 1;1 x 1;2 x 1
Athletic;2 x 2;0 x 2;;0 x 3;1 x 1;4 x 0;2 x 0;0 x 4;1 x 1;1 x 2;1 x 1;0 x 2;2 x 1;1 x 1;0 x 2;2 x 1;;1 x 2;0 x 1;2 x 1
Athletico Paranaense;2 x 0;;1 x 0;;0 x 1;1 x 1;1 x 4;1 x 1;0 x 1;2 x 0;2 x 1;1 x 1;1 x 1;0 x 1;2 x 1;1 x 0;1 x 1;2 x 1;2 x 0;2 x 0
Atlético Goianiense;2 x 0;1 x 0;4 x 2;3 x 0;;2 x 1;2 x 0;0 x 0;0 x 0;2 x 1;0 x 1;1 x 1;1 x 3;1 x 2;1 x 0;0 x 0;2 x 1;1 x 1;1 x 0;2 x 0
Avaí;1 x 2;3 x 0;2 x 1;1 x 2;0 x 0;;5 x 0;2 x 1;0 x 2;1 x 0;1 x 1;2 x 0;2 x 2;2 x 1;1 x 1;1 x 0;0 x 0;3 x 1;1 x 1;3 x 0
Botafogo-SP;1 x 0;2 x 1;0 x 3;1 x 3;1 x 1;;;1 x 0;0 x 0;2 x 1;0 x 2;2 x 2;1 x 2;0 x 1;0 x 0;1 x 1;1 x 0;2 x 2;2 x 0;0 x 0
Chapecoense;4 x 0;0 x 1;1 x 0;2 x 3;;0 x 1;1 x 1;;1 x 2;3 x 2;2 x 1;2 x 1;2 x 1;1 x 2;1 x 0;2 x 0;2 x 0;1 x 1;2 x 2;4 x 2
Coritiba;1 x 1;1 x 0;0 x 0;0 x 0;2 x 1;2 x 1;2 x 0;0 x 0;;0 x 0;0 x 2;2 x 0;4 x 0;0 x 0;0 x 0;2 x 0;2 x 5;0 x 0;1 x 0;2 x 0
CRB;2 x 0;1 x 2;1 x 0;0 x 1;2 x 1;1 x 0;3 x 2;1 x 0;0 x 1;;1 x 0;1 x 1;2 x 2;2 x 0;4 x 0;2 x 2;2 x 0;2 x 0;2 x 0;1 x 0
Criciúma;3 x 2;2 x 1;4 x 0;4 x 2;1 x 0;1 x 2;2 x 0;2 x 0;0 x 1;1 x 0;;1 x 0;2 x 1;1 x 2;2 x 0;1 x 2;2 x 4;1 x 1;1 x 0;0 x 0
Cuiabá;3 x 1;3 x 1;2 x 1;2 x 1;2 x 2;2 x 2;0 x 1;1 x 0;1 x 0;1 x 0;;;1 x 0;0 x 1;0 x 1;2 x 3;1 x 0;1 x 3;1 x 0;2 x 0
Ferroviária;2 x 1;1 x 3;1 x 2;1 x 2;2 x 0;1 x 1;1 x 1;0 x 1;2 x 1;1 x 0;0 x 0;2 x 2;;1 x 1;1 x 2;0 x 0;2 x 2;1 x 1;1 x 3;0 x 0
Goiás;1 x 0;1 x 0;1 x 2;0 x 1;0 x 0;2 x 1;2 x 3;1 x 3;1 x 0;1 x 2;1 x 1;3 x 1;2 x 0;;1 x 0;2 x 1;1 x 0;1 x 1;2 x 2;2 x 0
Novorizontino;1 x 1;3 x 1;1 x 0;2 x 1;1 x 1;1 x 1;1 x 1;1 x 0;1 x 2;;1 x 1;3 x 0;2 x 2;1 x 0;;3 x 0;3 x 1;1 x 1;1 x 1;1 x 0
Operário-PR;2 x 1;1 x 0;1 x 4;2 x 2;3 x 0;0 x 0;3 x 0;1 x 2;1 x 0;1 x 1;1 x 0;1 x 1;;1 x 2;2 x 0;;0 x 0;0 x 1;2 x 2;2 x 1
Paysandu;2 x 2;0 x 0;1 x 1;1 x 2;2 x 2;1 x 2;1 x 0;0 x 2;1 x 2;1 x 1;0 x 1;1 x 1;2 x 1;0 x 0;0 x 1;1 x 2;;2 x 3;0 x 1;1 x 2
Remo;1 x 0;2 x 0;3 x 1;2 x 1;0 x 1;2 x 1;1 x 1;1 x 1;1 x 0;4 x 2;0 x 1;0 x 0;0 x 2;;1 x 1;2 x 1;0 x 1;;2 x 0;1 x 1
Vila Nova;1 x 0;0 x 3;1 x 1;2 x 1;1 x 0;2 x 2;2 x 0;1 x 0;1 x 2;2 x 0;1 x 1;2 x 2;2 x 2;2 x 0;0 x 1;0 x 0;1 x 0;1 x 1;;
Volta Redonda;1 x 1;1 x 0;0 x 2;3 x 2;3 x 0;1 x 1;0 x 1;1 x 1;0 x 1;0 x 1;0 x 0;0 x 1;0 x 0;0 x 0;0 x 0;1 x 0;1 x 0;2 x 1;2 x 1;
