"";"Time_da_casa";"Jogos_mandante";"Vitórias_mandante";"Empates_mandante";"Derrotas_mandante";"Gols_feitos_mandante";"Gols_sofridos_mandante";"Saldo_de_gols_mandante";"Pontos_mandante";"Jogos_visitante";"Vitórias_visitante";"Empates_visitante";"Derrotas_visitante";"Gols_feitos_visitante";"Gols_sofridos_visitante";"Saldo_de_gols_visitante";"Pontos_visitante";"Jogos";"Vitórias";"Empates";"Derrotas";"Gols_feitos";"Gols_sofridos";"Saldo_de_gols";"Pontos"
"1";"Amazonas";18;7;7;4;22;18;4;28;19;1;5;13;15;35;-20;8;37;8;12;17;37;53;-16;36
"2";"América Mineiro";19;7;8;4;24;19;5;29;18;5;2;11;17;24;-7;17;37;12;10;15;41;43;-2;46
"3";"Athletic";18;5;5;8;20;27;-7;20;19;6;3;10;21;25;-4;21;37;11;8;18;41;52;-11;41
"4";"Athletico Paranaense";18;9;5;4;22;15;7;32;19;9;3;7;30;28;2;30;37;18;8;11;52;43;9;62
"5";"Atlético Goianiense";19;11;5;3;26;13;13;38;18;2;8;8;13;24;-11;14;37;13;13;11;39;37;2;52
"6";"Avaí";19;10;6;3;31;15;16;36;18;4;7;7;19;25;-6;19;37;14;13;10;50;40;10;55
"7";"Botafogo-SP";18;6;7;5;17;19;-2;25;19;4;4;11;15;33;-18;16;37;10;11;16;32;52;-20;41
"8";"Chapecoense";18;10;3;5;31;20;11;33;19;7;5;7;20;15;5;26;37;17;8;12;51;35;16;59
"9";"Coritiba";19;9;8;2;21;10;11;35;18;9;3;6;16;12;4;30;37;18;11;8;37;22;15;65
"10";"CRB";19;13;3;3;30;12;18;42;18;3;5;10;15;25;-10;14;37;16;8;13;45;37;8;56
"11";"Criciúma";19;12;2;5;31;18;13;38;18;5;8;5;16;14;2;23;37;17;10;10;47;32;15;61
"12";"Cuiabá";18;11;2;5;25;17;8;35;19;2;10;7;17;27;-10;16;37;13;12;12;42;44;-2;51
"13";"Ferroviária";19;4;9;6;20;23;-3;21;18;4;7;7;22;27;-5;19;37;8;16;13;42;50;-8;40
"14";"Goiás";19;10;4;5;25;18;7;34;18;7;6;5;16;16;0;27;37;17;10;10;41;34;7;61
"15";"Novorizontino";18;9;8;1;28;14;14;35;19;5;7;7;12;18;-6;22;37;14;15;8;40;32;8;57
"16";"Operário-PR";18;8;6;4;24;17;7;30;19;3;6;10;14;26;-12;15;37;11;12;14;38;43;-5;45
"17";"Paysandu";19;2;7;10;17;26;-9;13;18;3;6;9;18;24;-6;15;37;5;13;19;35;50;-15;28
"18";"Remo";18;9;5;4;23;15;8;32;19;6;9;4;25;23;2;27;37;15;14;8;48;38;10;59
"19";"Vila Nova";18;8;7;3;22;16;6;31;19;3;6;10;16;26;-10;15;37;11;13;13;38;42;-4;46
"20";"Volta Redonda";19;7;7;5;16;13;3;28;18;1;4;13;8;28;-20;7;37;8;11;18;24;41;-17;35
